*****BBBBBBBBBBBBBBBBBBWWWWWWWWWWWWWWWBBBBBBBBBB****************
****BGGGGGGGGGGGGGGGGGGWWWWWWWWWWWWWWWGGGGGGGGGGBBBB************
***BBGGGGGGGGGGGGGGGGGGWWWWWWWWWWWWWWWGGGGGGGpGGGGGGBB**********
**BGGGGGGGSGGGGGGGGGGGGWWWWWWWWWWWWWWWGGGGGGGGGGGGGGGB**********
*BGGGGGGGGGGGGGGGGGGGGGWWWWWWW)(WWWWWW;GGGGGGGGGGGGGGGB*********
BGGGGGGGGGGGGGGGGGGGGG/WWWWWW)GG(WWWWWW;GGGGGGGGGGGGGGGB********
BGGGGGGGGGGGGGGGGGGGG/WWWWWW)GGGG(WWWWWW;GGGGGSGGGGGGGGGBBB*****
*BGGGGGGGGGGGGGGGGGGGWWWWWWWGGGGGG(WWWWWW;GGGGGGGGGGGGGGGGGB****
*BGGGGGGGGGGGGGGSGGGG=======GGGGGGG(WWWWWW;GGGGGGGGGGGGGGGGGB***
*BGGGGGGGGGGGGGGGGGGG=======GGGGGGGG(WWWWWW;GGGGGGGGSGGGGGGGGBB*
*BGGGGGGGGGGGGGGGGGG/WWWWWWWGGGGGGGGG(WWWWWW;GGGGGGGGGGGGGGGGGGB
BGGGGGGGGSGGGGGGGGG/WWWWWWW)GGGGGGGGGG(WWWWWWGGGGGGGGGGGGGGGGGGB
BGGGGGGGGGGGGGGGGG/WWWWWWW)GGGGGGGGGGGGWWWWWWGGGGGGGGGGGGGGGGGGB
BGGGGGGGGGGGGGGGG/WWWWWWW)GGGGGGGGGGGGGWWWWWWGGGGGGGGGGGGGGGGGGB
BGGGSGGGGGGGGGGG/WWWWWWW)GGGGGGGGGGGGGGWWWWWW;GGGGGGSGGGGGGGGGGB
BGGGGGGGGGGGGGG/WWWWWWW)GGGGGGbGGGGGGGG(WWWWWW;GGGGGGGGGGGGGGGGB
BGGGGGGGGGGGGG/WWWWWWW)GGGGGGGGGGGGGGGGGG(WWWWWW;GGGGGGGGGGGGGGB
BGGGGGGGGGGGG/WWWWWWWWGGGGGGGGGGGGGGGGGGGGG(WWWWWW;GGGGGGGGGGGGB
BGGGGGGGGGG/WWWW)GWWWWGGGGGGGGGGGGGGGGGGGGGGGG(WWWWWW;GGGGGGGGGB
BGGGGGGGGG/WWWW)GG(WWW;GGGGGGGGGGGGGGGGGGGGGGGG(WWWWWW++WWWWWWWW
BGGGbGGGGGWWWWWGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGGGGGWW++WWWWWWWW
BGGGGGGGGGWWWWWGGGGG(WWW;GGGGGSGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGB
BGGGGGGGGGWWWWWGGGGGG(WWW;GGGGGGGGGGGGGGSGGGGGGGGGGGGGGGGGGGGGGB
BGGGGGGGG=====GGGGGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGSGGGGGGGGGGGB
BGGGGGGG=====GGGGGGGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGB*
BGGGG/WWWW)GGGGGGGGGGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGBBB**
WWWWWWWWW)GGGGGGGGGGGGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGGGGGBGGB**
WWWWWWWW)GGGGGGSGGGGGSGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGGGBGGGB**
BGGGGGGGGGGGGGGGGGGGGGGGGGG(WWW;GGGGGGGGGSGGGGGGGGGGGGGGBGGGGB**
*BGGGGGGGGGGGGGGGGGGGGGGGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGBGGGGGB**
**BGGGGGGGGGGGGGGGGGGGGGGGGGGWWWW;GGGGGGGGGGGGGGGGGGGGBGGGGGGB**
***BBBBBGGGGGGGGGGGGGGGGGGGG/WWWWWWGGGGGGGGGGGGGGGGGGBGGGGPGGB**
********BGGGGGGGGGGGGGGGGGG/WWWWWWWBBBBBBBBBBBBBBBBBBGGGGGGGGB**
********BGGGGGGGGGGGGGGGGG/WWWG(WWW;GGGGGGGGGGGGGGGGGGGbGGGGGGB*
*********BGGGGGGGGGGGGGGGGWWW)GG(WWW;GGGGGGGGGGGGGGGGGGGGbGGGGGB
**********BGGGGGGGSGGGGGG/WW)GGGG(WWW;GGGGGGGGSGGGGGGGGGGGGGGGGB
***********BGGGGGGGGGGGGGWWWGGGGGG(WWW;GGGGGGGGGGGGGGGGGGGGGGGGB
***********BGGGGGGGGGGGG/WW)GGGGGGG(WWWWWWWWWWWWWW++WWWWWWWWWWWW
***********BGGGGGGGGGGGGWWWGGGGGGGGG(WWWWWWWWWWWWW++WWWWWWWWWWWW
**********BGGGGGGGGGGGGG===GGGGGSGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGB
*********BGGGGGGGGGGGGGG===GGGGGGGGGGGGGGGGGGGGGGSGGGGGGGGGGGGGB
*********BGGGGGGGGGGGGGGWWWGGGGGGGGGGGGSGGGGGGGGGGGGGGGGBBBBBBBB
**********BGGGGGGGGGGGGGWWWGGGGGGGGGGGGGGGGGGGGGGGGGGGGB********
***********BBBBBBBBBBBBBWWWBBBBBBBBBBBBBBBBBBBBBBBBBBBB*********
